edad_min_participante,tipo_estudio,condicion_primaria_estudio,tipo_celula,fase_estudio_clinico,pais,n_patrocinadores,Target
14,1071.7936507936508,776.6153846153846,545.6666666666666,548.0,815.9705882352941,1169.2898550724638,365.0
18,1071.7936507936508,1042.6,980.0714285714286,1167.6315789473683,815.9705882352941,1169.2898550724638,173.0
0,725.8,776.6153846153846,980.0714285714286,548.0,815.9705882352941,725.8,731.0
50,1071.7936507936508,776.6153846153846,545.6666666666666,967.5483870967741,1301.8947368421052,1169.2898550724638,787.0
18,1071.7936507936508,379.5,980.0714285714286,967.5483870967741,1301.8947368421052,1169.2898550724638,437.0
18,1071.7936507936508,578.2857142857143,545.6666666666666,1383.6666666666667,815.9705882352941,1169.2898550724638,485.0
18,1071.7936507936508,379.5,980.0714285714286,967.5483870967741,815.9705882352941,1169.2898550724638,360.0
18,1071.7936507936508,379.5,1627.0434782608695,1167.6315789473683,815.9705882352941,1169.2898550724638,350.0
18,1071.7936507936508,1042.6,795.375,967.5483870967741,1077.25,1169.2898550724638,1000.0
18,1071.7936507936508,1042.6,1270.75,1167.6315789473683,815.9705882352941,1169.2898550724638,1034.0
18,1071.7936507936508,1204.0,980.0714285714286,967.5483870967741,815.9705882352941,1169.2898550724638,1153.0
18,1071.7936507936508,776.6153846153846,980.0714285714286,967.5483870967741,1301.8947368421052,1169.2898550724638,665.0
60,1071.7936507936508,1786.7333333333333,1627.0434782608695,967.5483870967741,1552.4285714285713,1169.2898550724638,974.0
35,1071.7936507936508,1418.8181818181818,980.0714285714286,1383.6666666666667,815.9705882352941,1169.2898550724638,1118.0
18,1071.7936507936508,578.2857142857143,980.0714285714286,967.5483870967741,815.9705882352941,1169.2898550724638,678.0
50,1071.7936507936508,1418.8181818181818,1627.0434782608695,967.5483870967741,815.9705882352941,1169.2898550724638,1134.0
0,725.8,776.6153846153846,980.0714285714286,967.5483870967741,815.9705882352941,725.8,274.0
20,1071.7936507936508,776.6153846153846,795.375,967.5483870967741,1552.4285714285713,1169.2898550724638,802.0
18,1071.7936507936508,1042.6,980.0714285714286,967.5483870967741,1301.8947368421052,1169.2898550724638,1025.0
18,1071.7936507936508,1204.0,980.0714285714286,967.5483870967741,1301.8947368421052,1169.2898550724638,1228.0
18,1071.7936507936508,776.6153846153846,980.0714285714286,967.5483870967741,1301.8947368421052,1169.2898550724638,1068.0
18,1071.7936507936508,578.2857142857143,795.375,1383.6666666666667,1077.25,1169.2898550724638,632.0
18,1071.7936507936508,578.2857142857143,980.0714285714286,967.5483870967741,1301.8947368421052,1169.2898550724638,645.0
18,1071.7936507936508,578.2857142857143,1627.0434782608695,967.5483870967741,815.9705882352941,1169.2898550724638,609.0
18,1071.7936507936508,578.2857142857143,795.375,1167.6315789473683,815.9705882352941,1169.2898550724638,364.0
18,1071.7936507936508,1418.8181818181818,980.0714285714286,967.5483870967741,1301.8947368421052,1169.2898550724638,1287.0
18,1071.7936507936508,1418.8181818181818,980.0714285714286,1383.6666666666667,1746.0,1169.2898550724638,1732.0
18,1071.7936507936508,379.5,795.375,1383.6666666666667,815.9705882352941,1169.2898550724638,339.0
18,1071.7936507936508,1042.6,795.375,967.5483870967741,815.9705882352941,1169.2898550724638,1095.0
18,1071.7936507936508,1418.8181818181818,980.0714285714286,967.5483870967741,1301.8947368421052,1169.2898550724638,1480.0
0,725.8,776.6153846153846,980.0714285714286,1167.6315789473683,815.9705882352941,725.8,188.0
18,1071.7936507936508,1042.6,980.0714285714286,1383.6666666666667,1552.4285714285713,1169.2898550724638,1054.0
18,1071.7936507936508,1042.6,980.0714285714286,1383.6666666666667,1301.8947368421052,1169.2898550724638,147.0
18,2193.0,1525.5,980.0714285714286,1167.6315789473683,1301.8947368421052,1169.2898550724638,1522.0
20,1071.7936507936508,1042.6,980.0714285714286,967.5483870967741,1552.4285714285713,1169.2898550724638,935.0
0,1071.7936507936508,1042.6,795.375,967.5483870967741,815.9705882352941,1169.2898550724638,1003.0
30,1071.7936507936508,379.5,795.375,1167.6315789473683,815.9705882352941,1169.2898550724638,30.0
18,1071.7936507936508,1418.8181818181818,980.0714285714286,967.5483870967741,1301.8947368421052,1169.2898550724638,1369.0
18,1071.7936507936508,1418.8181818181818,795.375,1167.6315789473683,815.9705882352941,1169.2898550724638,731.0
18,1071.7936507936508,578.2857142857143,795.375,967.5483870967741,815.9705882352941,1169.2898550724638,635.0
18,1071.7936507936508,1042.6,795.375,1167.6315789473683,815.9705882352941,1169.2898550724638,761.0
2,1071.7936507936508,776.6153846153846,980.0714285714286,1167.6315789473683,815.9705882352941,1169.2898550724638,761.0
18,1071.7936507936508,379.5,795.375,1167.6315789473683,815.9705882352941,1169.2898550724638,761.0
50,1071.7936507936508,1418.8181818181818,1627.0434782608695,1383.6666666666667,1552.4285714285713,1169.2898550724638,1978.0
50,1071.7936507936508,1418.8181818181818,1627.0434782608695,1978.0,1552.4285714285713,1169.2898550724638,1978.0
18,1071.7936507936508,1525.5,1627.0434782608695,967.5483870967741,1552.4285714285713,1169.2898550724638,1529.0
0,725.8,776.6153846153846,1270.75,1383.6666666666667,815.9705882352941,725.8,1614.0
18,1071.7936507936508,776.6153846153846,795.375,1383.6666666666667,815.9705882352941,1169.2898550724638,802.0
55,1071.7936507936508,1786.7333333333333,1627.0434782608695,1383.6666666666667,815.9705882352941,1169.2898550724638,1212.0
18,1071.7936507936508,1042.6,980.0714285714286,1383.6666666666667,2296.0,1169.2898550724638,2296.0
18,1071.7936507936508,1042.6,980.0714285714286,967.5483870967741,815.9705882352941,1169.2898550724638,225.0
50,1071.7936507936508,1418.8181818181818,1627.0434782608695,1383.6666666666667,815.9705882352941,1169.2898550724638,1340.0
18,1071.7936507936508,776.6153846153846,795.375,967.5483870967741,1077.25,1169.2898550724638,1217.0
50,1071.7936507936508,1786.7333333333333,1627.0434782608695,1167.6315789473683,1552.4285714285713,1169.2898550724638,1687.0
0,2193.0,1042.6,980.0714285714286,1167.6315789473683,815.9705882352941,1169.2898550724638,2579.0
30,1071.7936507936508,1418.8181818181818,795.375,967.5483870967741,1077.25,1169.2898550724638,1460.0
50,1071.7936507936508,1786.7333333333333,795.375,967.5483870967741,1552.4285714285713,1169.2898550724638,1094.0
55,1071.7936507936508,1786.7333333333333,1627.0434782608695,1383.6666666666667,1301.8947368421052,1169.2898550724638,2691.0
0,725.8,776.6153846153846,1627.0434782608695,1167.6315789473683,815.9705882352941,725.8,822.0
18,2193.0,1786.7333333333333,1627.0434782608695,1383.6666666666667,815.9705882352941,1169.2898550724638,1705.0
18,1071.7936507936508,1204.0,1270.75,1383.6666666666667,1301.8947368421052,1169.2898550724638,1401.0
1,1071.7936507936508,1042.6,980.0714285714286,1167.6315789473683,815.9705882352941,1169.2898550724638,1095.0
18,1071.7936507936508,1042.6,980.0714285714286,1383.6666666666667,815.9705882352941,1169.2898550724638,1217.0
50,1071.7936507936508,1975.0,1627.0434782608695,1167.6315789473683,1552.4285714285713,1169.2898550724638,1975.0
18,1071.7936507936508,1786.7333333333333,1627.0434782608695,967.5483870967741,1746.0,1169.2898550724638,1760.0
55,2193.0,1786.7333333333333,1627.0434782608695,1167.6315789473683,1301.8947368421052,1169.2898550724638,2366.0
18,2193.0,1786.7333333333333,1627.0434782608695,1167.6315789473683,1552.4285714285713,1169.2898550724638,2450.0
55,1071.7936507936508,1786.7333333333333,1627.0434782608695,1383.6666666666667,1552.4285714285713,1169.2898550724638,2859.0
20,1071.7936507936508,1786.7333333333333,1627.0434782608695,967.5483870967741,1552.4285714285713,1169.2898550724638,1032.0
18,2193.0,1786.7333333333333,1627.0434782608695,1167.6315789473683,1301.8947368421052,1169.2898550724638,2536.0
18,1071.7936507936508,1786.7333333333333,1627.0434782608695,1383.6666666666667,1552.4285714285713,1169.2898550724638,1387.0
18,1071.7936507936508,1786.7333333333333,1627.0434782608695,1383.6666666666667,1301.8947368421052,1169.2898550724638,1516.0
55,1071.7936507936508,1786.7333333333333,1627.0434782608695,1383.6666666666667,1301.8947368421052,1169.2898550724638,1532.0
18,1071.7936507936508,1204.0,1270.75,967.5483870967741,1301.8947368421052,1169.2898550724638,1034.0
